setup_date,breakout_date,ticker,company_name,setup_high,setup_close,breakout_open,breakout_high,breakout_close,entry_price,exit_price,success_binary,return_percentage,setup_mpi,setup_mpi_velocity,setup_mpi_trend,setup_ibs,setup_crt_velocity,setup_higher_hl,setup_valid_crt,setup_vw_range_percentile
2025-03-24,2025-03-25,A17U.SI,CapLand Ascendas REIT,2.5847,2.575,2.5847,2.6041,2.5944,2.5847,2.5944,1,0.003759,0.8,0.1,Expanding,0.6667,0.14,1,0,0.04
2025-03-26,2025-03-27,A17U.SI,CapLand Ascendas REIT,2.5944,2.5847,2.5944,2.6139,2.5847,2.5944,2.5847,0,-0.003745,0.7,-0.1,Contracting,0.6667,0.14,0,0,0.14
2025-04-02,2025-04-03,A17U.SI,CapLand Ascendas REIT,2.643,2.6139,2.6139,2.6722,2.6624,2.643,2.6624,1,0.007353,0.6,-0.1,Contracting,0.4,0.14,0,0,0.4
2025-04-14,2025-04-15,A17U.SI,CapLand Ascendas REIT,2.4778,2.4389,2.4584,2.507,2.4875,2.4778,2.4875,1,0.003922,0.4,0.0,Flat,0.2,0.14,1,0,0.32
2025-04-15,2025-04-16,A17U.SI,CapLand Ascendas REIT,2.507,2.4875,2.4778,2.575,2.5458,2.507,2.5458,1,0.015504,0.4,0.0,Flat,0.6,0.14,1,0,0.38
2025-04-21,2025-04-22,A17U.SI,CapLand Ascendas REIT,2.5556,2.5458,2.5264,2.575,2.5653,2.5556,2.5653,1,0.003802,0.5,0.0,Flat,0.6667,0.14,0,0,0.02
2025-04-22,2025-04-23,A17U.SI,CapLand Ascendas REIT,2.575,2.5653,2.575,2.6236,2.5944,2.575,2.5944,1,0.007547,0.6,0.1,Expanding,0.8333,0.14,0,0,0.38
2025-04-24,2025-04-25,A17U.SI,CapLand Ascendas REIT,2.6041,2.5847,2.5944,2.6236,2.5847,2.6041,2.5847,0,-0.007463,0.7,0.0,Flat,0.5,0.14,0,0,0.22
2025-05-02,2025-05-05,A17U.SI,CapLand Ascendas REIT,2.5847,2.5847,2.575,2.5944,2.5944,2.5847,2.5944,1,0.003759,0.5,-0.1,Contracting,1.0,0.14,0,0,0.02
2025-05-05,2025-05-06,A17U.SI,CapLand Ascendas REIT,2.5944,2.5944,2.5944,2.6139,2.5944,2.5944,2.5944,0,0.0,0.5,0.0,Flat,1.0,0.14,1,0,0.02
2025-05-09,2025-05-13,A17U.SI,CapLand Ascendas REIT,2.5944,2.5653,2.5847,2.5944,2.5556,2.5944,2.5556,0,-0.014981,0.5,0.1,Expanding,0.4,0.14,0,0,0.24
2025-05-28,2025-05-29,A17U.SI,CapLand Ascendas REIT,2.5361,2.5361,2.507,2.5653,2.5361,2.5361,2.5361,0,0.0,0.4,0.0,Flat,1.0,0.24,0,1,0.02
